1,2,3,4,5,6,6 Express,7,7 Express,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z,x,y,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.9229480003,40.6901413324,Linden St & Broadway At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.902805467,40.6756980263,Snediker Ave & New York Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-73.8995859991,40.6767693335,Alabama Av & Fulton St At Se Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.8966689994,40.6742393323,Pennsylvania Ave & Liberty Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9046790387,40.6887875988,Lirr Bay Ridge Divide & Wilson Ave At Nw Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.8901530003,40.6725063342,Van Siclen Ave & Pitkin Ave At Se Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8832899968,40.6662813323,Ashford St & Livonia Av At Sw Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.8806649971,40.6740013319,Shepherd Ave & Pitkin Ave At Se Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-73.8720869977,40.6752683325,Euclid Ave & Pitkin Ave At Sw Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-73.8720859984,40.675488334,Euclid Ave & Pitkin Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9221190001,40.7060143338,Starr St & Wyckoff Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9192729997,40.7041533321,Dekalb Ave & Wycoff Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9179589991,40.7033423318,Stanhope St & Wycoff Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9176059999,40.7034613323,Stanhope St & Wycoff Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9237230015,40.7072423342,Jefferson St & Wyckoff Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.921930998,40.7062163335,Starr St & Wyckoff Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-73.9022080003,40.7048163322,Forest Ave & Myrtle Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-73.8955590994,40.7061153812,62nd St & 67th Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.8827009991,40.7429453341,Britton Ave & Broadway At Nw Corner
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8458003935,40.7548278964,126th St & Roosevelt Ave At Nw Corner
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8460137926,40.754236983,126th St & Roosevelt Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.8595537281,40.7293252447,64th Rd & Queens Blvd At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.8665954352,40.6914714434,75th St & Jamaica At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.8432954285,40.6952686291,104th St & Jamaica Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-73.816413384,40.7012044469,Van Wyck Expwy & 89th Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-73.9419950196,40.7006296036,Flushing Ave & Broadway At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9052643131,40.695712572,Halsey St & Wycoff Ave At Sw Corner (To Canarsie Only)
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9297254889,40.6794870998,Utica Ave & Fulton St At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.965670011,40.6883581252,Washington Ave & Lafayette Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9678861312,40.6878335124,Clinton Ave & Lafayette Ave At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9549690412,40.6893309638,Bedford Ave & Lafayette Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9552896137,40.6895530288,Bedford Ave & Lafayette Ave At Nw Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9307228213,40.6686647011,Utica Ave & Eastern Pkwy At Se Corner
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-73.9628399593,40.6514580817,St. Pauls Pl & Caton Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-73.9769986958,40.5754988486,8th St & Surf Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,-73.9894740326,40.6698507083,4th Ave & 10th St At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-73.9761566079,40.6245281414,Mcdonald Ave & Avenue J At Nw Corner
