geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-73.9792400001875 40.64271533364951),F,102 Beverly Road,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
POINT (-73.97614600085106 40.76042233409885),E-M,656 5 Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
POINT (-73.94135896287963 40.67977789566103),A-C,1490 Fulton Street (To Queens Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.99313799889386 40.74703633374141),1-2,311 7 Avenue (Uptown Only),http://www.mta.info/nyct/service/,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-74.23900680299468 40.51783269375978),@,Nassau Pl & Averill Pl At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-74.07671914943002 40.64472487956711),@,75 Richmond Terrace,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.95800999849698 40.70858933343752),J-M-Z,295 Broadway (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
POINT (-74.00374700179144 40.72558333510693),A-C-E,166 6 Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
POINT (-73.90748099965755 40.7028363320584),M,701 Seneca Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
POINT (-73.88382899762436 40.7478173341866),7,82-01 Roosevelt Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
